customer_id,signup_date,region,acquisition_channel,age,newsletter_opt_in,loyalty_member,support_tickets_12m,avg_satisfaction_score,age_missing_flag,satisfaction_missing_flag,recency_days,frequency,monetary_total,avg_order_value,median_order_value,order_value_std,active_span_days,distinct_categories_purchased,return_rate,favourite_category,orders_via_mobile_app,orders_via_store,orders_via_web,never_purchased_flag,tenure_days,tenure_months,orders_per_tenure_month,spend_per_tenure_month,engagement_score,support_tickets_per_order,segment,segment_hierarchical,pca_1,pca_2,segment_name
100000,2023-12-09,Wales,Referral,38.0,True,True,1,3.2,0,0,12.0,13.0,554.91,42.68538461538461,40.09,19.4047174742744,322.0,8.0,0.07692307692307693,Groceries,5.0,0.0,8.0,0,419,13.8,0.9420289855072463,40.210869565217386,2,0.07692307692307693,0,1,1.270416780520103,-0.35707238532566904,High-Value Loyal
100001,2023-11-14,South West,Paid Search,37.0,True,False,0,4.4,0,0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,444,14.6,0.0,0.0,1,0.0,1,2,-4.234293297964994,1.5897369240868537,New / Low Engagement
100002,2023-12-03,East Of England,Affiliate,39.0,True,False,5,3.5,0,0,21.0,28.0,1793.4,64.05,52.245,42.72049729215344,350.0,10.0,0.03571428571428571,Homeware,12.0,1.0,15.0,0,425,14.0,2.0,128.1,1,0.17857142857142858,0,3,3.346257728686172,-0.5783169207525917,High-Value Loyal
100003,2025-01-24,West Midlands,Organic,41.0,False,False,1,3.9,1,1,17.0,1.0,33.43,33.43,33.43,0.0,0.0,1.0,0.0,Sports & Outdoors,0.0,0.0,1.0,0,7,0.2,1.0,33.43,0,1.0,2,0,-1.5500204329737586,-1.9062141397920238,Emerging Customers
100004,2023-02-09,West Midlands,Email,47.0,True,False,0,3.9,0,1,48.0,30.0,2169.18,72.306,75.57,33.962011495604706,341.0,10.0,0.13333333333333333,Groceries,13.0,3.0,14.0,0,722,23.7,1.2658227848101267,91.52658227848102,1,0.0,0,3,3.3797273778474874,1.151496619311455,High-Value Loyal
100005,2023-08-01,North East,Email,36.0,True,True,2,1.8,0,0,30.0,21.0,1223.94,58.28285714285715,58.11,23.96245190769449,365.0,10.0,0.047619047619047616,Fashion,7.0,3.0,11.0,0,549,18.0,1.1666666666666667,67.99666666666667,2,0.09523809523809523,0,1,2.4965217562076196,0.3771952144406274,High-Value Loyal
100006,2025-01-24,North East,Email,23.0,True,False,1,3.0,0,0,28.0,1.0,32.66,32.66,32.66,0.0,0.0,1.0,0.0,Sports & Outdoors,0.0,0.0,1.0,0,7,0.2,1.0,32.66,1,1.0,2,0,-1.6300212857484535,-1.5874272372112492,Emerging Customers
100007,2024-09-16,North West,Email,38.0,True,False,3,2.8,0,0,36.0,5.0,224.38,44.876,48.51,22.19404492200554,93.0,5.0,0.0,Books & Media,1.0,0.0,4.0,0,137,4.5,1.1111111111111112,49.86222222222222,1,0.6,2,0,0.05706009946757164,-0.9700176744852254,Emerging Customers
100008,2023-07-10,West Midlands,Paid Search,47.0,False,False,0,3.2,0,0,28.0,22.0,1685.16,76.59818181818183,73.64,32.22962680757946,353.0,10.0,0.045454545454545456,Toys & Kids,12.0,1.0,9.0,0,571,18.8,1.1702127659574468,89.63617021276596,0,0.0,0,3,3.0078246738040315,0.3199720698924774,High-Value Loyal
100009,2024-01-02,Unknown,Paid Search,23.0,True,True,0,3.9,0,1,78.0,5.0,88.66,17.732,16.19,8.253963896213744,158.0,4.0,0.2,Electronics,2.0,1.0,2.0,0,395,13.0,0.38461538461538464,6.819999999999999,2,0.0,3,0,-1.3948067366864305,0.9935154579752444,At-Risk / Lapsing
100010,2024-01-18,South West,Paid Search,49.0,False,False,1,3.9,0,1,161.0,2.0,6.1,3.05,3.05,0.07071067811865465,151.0,2.0,0.0,Homeware,0.0,0.0,2.0,0,379,12.5,0.16,0.488,0,0.5,1,0,-3.1778794725421258,0.9175639754951258,New / Low Engagement
100011,2023-11-08,North East,Email,56.0,False,False,1,3.1,0,0,20.0,17.0,929.23,54.66058823529412,48.31,21.625253602729217,362.0,7.0,0.0,Homeware,4.0,1.0,12.0,0,450,14.8,1.1486486486486487,62.78581081081081,0,0.058823529411764705,0,1,1.7854369456931538,-0.37114862660139175,High-Value Loyal
100012,2023-12-15,Wales,Email,60.0,True,False,1,2.3,0,0,17.0,10.0,233.45999999999998,23.345999999999997,22.275,11.514469351404973,335.0,6.0,0.0,Groceries,4.0,1.0,5.0,0,413,13.6,0.7352941176470589,17.166176470588233,1,0.1,2,0,-0.04080005026252147,-0.33046639388617965,Emerging Customers
100013,2025-01-24,Wales,Organic,45.0,True,True,2,4.7,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,7,0.2,0.0,0.0,2,2.0,1,2,-4.216011911496764,-1.4407430345520997,New / Low Engagement
100014,2024-06-23,West Midlands,Email,18.0,True,False,1,4.2,0,0,222.0,1.0,40.72,40.72,40.72,0.0,0.0,1.0,0.0,Electronics,1.0,0.0,0.0,0,222,7.3,0.136986301369863,5.578082191780822,1,1.0,3,0,-2.511970460836105,0.8263713241117611,At-Risk / Lapsing
100015,2024-03-13,West Midlands,Organic,49.0,True,False,1,3.6,0,0,119.0,6.0,220.64,36.77333333333333,34.06,12.71818488097522,111.0,6.0,0.0,Sports & Outdoors,4.0,0.0,2.0,0,324,10.6,0.5660377358490566,20.81509433962264,1,0.16666666666666666,3,0,-0.4121403684352371,0.5309361714418128,At-Risk / Lapsing
100016,2023-09-16,Wales,Organic,54.0,True,False,0,3.5,0,0,156.0,5.0,105.57,21.113999999999997,21.11,3.7350676031365224,162.0,4.0,0.2,Garden,1.0,1.0,3.0,0,503,16.5,0.30303030303030304,6.3981818181818175,1,0.0,3,0,-1.3494052173635342,1.6179261248017838,At-Risk / Lapsing
100017,2023-07-12,West Midlands,Organic,32.0,True,True,0,3.5,0,0,21.0,43.0,3113.41,72.40488372093023,71.32,33.99239070117598,375.0,10.0,0.06976744186046512,Electronics,18.0,4.0,21.0,0,569,18.7,2.2994652406417115,166.49251336898396,2,0.0,0,3,4.2859245080856905,-0.15348818328920372,High-Value Loyal
100018,2024-03-30,North West,Email,40.0,True,True,1,3.7,0,0,43.0,9.0,340.23,37.803333333333335,41.22,16.03465387839725,293.0,5.0,0.1111111111111111,Toys & Kids,1.0,2.0,6.0,0,307,10.1,0.8910891089108911,33.68613861386139,2,0.1111111111111111,2,1,0.21266907428327442,0.002442615741808774,Emerging Customers
100019,2023-05-21,Wales,Paid Search,47.0,True,False,0,3.9,0,1,36.0,6.0,159.26,26.543333333333333,25.314999999999998,21.271761249757073,306.0,3.0,0.0,Toys & Kids,2.0,1.0,3.0,0,621,20.4,0.29411764705882354,7.806862745098039,1,0.0,3,0,-0.9757812245254658,0.866951147467055,At-Risk / Lapsing
100020,2025-01-24,Scotland,Referral,64.0,False,False,2,3.9,0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,7,0.2,0.0,0.0,0,2.0,1,2,-4.225929706844649,-1.5550181508239027,New / Low Engagement
100021,2025-01-24,London,Email,38.0,False,False,0,4.2,0,0,6.0,2.0,48.32,24.16,24.16,6.307392488184005,4.0,2.0,0.0,Sports & Outdoors,1.0,0.0,1.0,0,7,0.2,2.0,48.32,0,0.0,2,0,-0.7415217055688775,-2.9195023489780936,Emerging Customers
100022,2023-01-14,Wales,Social,53.0,True,False,1,3.3,0,0,50.0,5.0,261.35,52.27,59.46,17.855205123436697,337.0,4.0,0.0,Books & Media,3.0,1.0,1.0,0,748,24.6,0.2032520325203252,10.6239837398374,1,0.2,3,0,-0.3457192220165438,1.5443834347416567,At-Risk / Lapsing
100023,2023-09-21,Unknown,Paid Search,45.0,True,True,2,2.6,0,0,223.0,7.0,372.17,53.167142857142856,58.76,27.21727558879085,163.0,7.0,0.0,Garden,1.0,0.0,6.0,0,498,16.4,0.426829268292683,22.69329268292683,2,0.2857142857142857,3,0,0.16998027904285123,1.5234907478023119,At-Risk / Lapsing
100024,2025-01-24,West Midlands,Email,44.0,False,False,0,2.5,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,7,0.2,0.0,0.0,0,0.0,1,2,-4.225929706844649,-1.5550181508239027,New / Low Engagement
100025,2024-03-23,Yorkshire,Referral,58.0,True,True,0,5.0,0,0,34.0,14.0,732.91,52.35071428571428,42.815,40.3749647228778,215.0,8.0,0.07142857142857142,Groceries,6.0,2.0,6.0,0,314,10.3,1.3592233009708736,71.15631067961164,2,0.0,0,1,1.6784565245243521,-0.3275991426347741,High-Value Loyal
100026,2024-06-20,North West,Social,30.0,True,False,0,4.5,0,0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,225,7.4,0.0,0.0,1,0.0,1,2,-4.399976971678369,0.769355306874568,New / Low Engagement
100027,2022-10-01,Wales,Organic,44.0,True,True,1,5.0,0,0,26.0,26.0,1924.03,74.00115384615384,73.845,30.263083296574138,349.0,9.0,0.038461538461538464,Pet Supplies,10.0,2.0,14.0,0,853,28.0,0.9285714285714286,68.71535714285714,2,0.038461538461538464,0,3,3.0724765616790823,1.2362634922926883,High-Value Loyal
100028,2023-11-10,East Of England,Organic,41.0,True,False,1,3.5,0,0,131.0,1.0,51.61,51.61,51.61,0.0,0.0,1.0,0.0,Toys & Kids,1.0,0.0,0.0,0,448,14.7,0.06802721088435375,3.510884353741497,1,1.0,3,0,-2.1690752066991164,1.3029200079394607,At-Risk / Lapsing
100029,2024-04-15,Yorkshire,Organic,21.0,True,False,1,4.3,0,0,18.0,16.0,799.3100000000001,49.956875000000004,41.275000000000006,44.00655053038506,283.0,9.0,0.0,Toys & Kids,5.0,1.0,10.0,0,291,9.6,1.6666666666666667,83.26145833333334,1,0.0625,0,1,2.0606353274374323,-1.019095785038297,High-Value Loyal
100030,2024-09-05,North West,Organic,57.0,False,False,2,3.4,0,0,7.0,7.0,346.27,49.46714285714285,55.01,26.556897857421596,60.0,6.0,0.14285714285714285,Garden,2.0,0.0,5.0,0,148,4.9,1.4285714285714284,70.6673469387755,0,0.2857142857142857,2,0,0.988506037860988,-1.7388016581408272,Emerging Customers
100031,2023-09-15,Scotland,Email,52.0,False,True,0,3.8,0,0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,1,504,16.6,0.0,0.0,1,0.0,1,2,-4.181499578246811,1.7892012621464704,New / Low Engagement
100032,2024-02-17,North West,Organic,41.0,False,False,1,5.0,0,0,8.0,17.0,665.64,39.15529411764706,34.81,17.929768932437145,323.0,8.0,0.0,Beauty,6.0,1.0,10.0,0,349,11.5,1.4782608695652173,57.88173913043478,0,0.058823529411764705,0,1,1.7020330093025258,-1.2952600521071493,High-Value Loyal
100033,2023-12-27,North East,Referral,41.0,False,True,0,5.0,1,0,86.0,9.0,178.57,19.84111111111111,21.71,10.842360725926394,241.0,7.0,0.0,Fashion,2.0,4.0,3.0,0,401,13.2,0.6818181818181819,13.528030303030302,1,0.0,3,0,-0.38175170330008035,0.5137147638161267,At-Risk / Lapsing
100034,2023-11-11,South West,Organic,41.0,True,False,1,4.0,0,0,51.0,8.0,291.5,36.4375,24.855,33.72454500381415,268.0,7.0,0.125,Toys & Kids,5.0,0.0,3.0,0,447,14.7,0.54421768707483,19.829931972789115,1,0.125,3,0,0.11008800799168876,0.7237016258655729,At-Risk / Lapsing
100035,2023-06-12,South East,Social,41.0,False,False,1,4.7,1,0,9.0,11.0,445.66999999999996,40.51545454545454,41.44,20.58133589621255,381.0,9.0,0.0,Groceries,5.0,2.0,4.0,0,599,19.7,0.5583756345177665,22.62284263959391,0,0.09090909090909091,0,1,1.0172361478361962,-0.0033976525751094546,High-Value Loyal
100036,2023-07-09,Yorkshire,Affiliate,42.0,False,True,1,3.9,0,1,4.0,35.0,2492.63,71.218,59.78,30.954907222869696,383.0,10.0,0.02857142857142857,Fashion,15.0,4.0,16.0,0,572,18.8,1.8617021276595744,132.58670212765958,1,0.02857142857142857,0,3,4.014514539704873,-0.9981235631209252,High-Value Loyal
100037,2024-03-06,South West,Organic,32.0,False,False,1,4.1,0,0,164.0,5.0,132.14,26.427999999999997,28.71,7.007850597722528,87.0,4.0,0.0,Beauty,1.0,2.0,2.0,0,331,10.9,0.4587155963302752,12.122935779816512,0,0.2,3,0,-1.2210912044978843,0.6603132519995492,At-Risk / Lapsing
100038,2023-08-25,Yorkshire,Paid Search,34.0,False,True,1,4.4,0,0,9.0,20.0,867.4399999999999,43.372,40.56,21.821322889127938,382.0,8.0,0.05,Homeware,3.0,3.0,14.0,0,525,17.2,1.1627906976744187,50.43255813953488,1,0.05,0,1,1.9232816399931072,-0.4505024924604858,High-Value Loyal
