customer_id,signup_date,region,acquisition_channel,age,newsletter_opt_in,loyalty_member,support_tickets_12m,avg_satisfaction_score
100000,2023-12-09,Wales,Referral,38.0,True,True,1,3.2
100001,2023-11-14,South West,Paid Search,37.0,True,False,0,4.4
100002,2023-12-03,East of England,Affiliate,39.0,True,False,5,3.5
100003,2025-01-24,West Midlands,Organic,,False,False,1,
100004,2023-02-09,West Midlands,Email,47.0,True,False,0,
100005,2023-08-01,North East,Email,36.0,True,True,2,1.8
100006,2025-01-24,North East,Email,23.0,True,False,1,3.0
100007,2024-09-16,North West,Email,38.0,True,False,3,2.8
100008,2023-07-10,West Midlands,Paid Search,47.0,False,False,0,3.2
100009,2024-01-02,,Paid Search,23.0,True,True,0,
100010,2024-01-18,South West,Paid Search,49.0,False,False,1,
100011,2023-11-08,North East,Email,56.0,False,False,1,3.1
100012,2023-12-15,Wales,Email,60.0,True,False,1,2.3
100013,2025-01-24,Wales,Organic,45.0,True,True,2,4.7
100014,2024-06-23,West Midlands,Email,18.0,True,False,1,4.2
100015,2024-03-13,West Midlands,Organic,49.0,True,False,1,3.6
100016,2023-09-16,Wales,Organic,54.0,True,False,0,3.5
100017,2023-07-12,West Midlands,Organic,32.0,True,True,0,3.5
100018,2024-03-30,North West,Email,40.0,True,True,1,3.7
100019,2023-05-21,Wales,Paid Search,47.0,True,False,0,
100020,2025-01-24,Scotland,Referral,64.0,False,False,2,
100021,2025-01-24,London,Email,38.0,False,False,0,4.2
100022,2023-01-14,Wales,Social,53.0,True,False,1,3.3
100023,2023-09-21,,Paid Search,45.0,True,True,2,2.6
100024,2025-01-24,West Midlands,Email,44.0,False,False,0,2.5
100025,2024-03-23,Yorkshire,Referral,58.0,True,True,0,5.0
100026,2024-06-20,North West,Social,30.0,True,False,0,4.5
100027,2022-10-01,Wales,Organic,44.0,True,True,1,5.0
100028,2023-11-10,East of England,Organic,41.0,True,False,1,3.5
100029,2024-04-15,Yorkshire,Organic,21.0,True,False,1,4.3
100030,2024-09-05,North West,Organic,57.0,False,False,2,3.4
100031,2023-09-15,Scotland,Email,52.0,False,True,0,3.8
100032,2024-02-17,North West,Organic,41.0,False,False,1,5.0
100033,2023-12-27,North East,Referral,,False,True,0,5.0
100034,2023-11-11,South West,Organic,41.0,True,False,1,4.0
100035,2023-06-12,South East,Social,,False,False,1,4.7
100036,2023-07-09,Yorkshire,Affiliate,42.0,False,True,1,
100037,2024-03-06,South West,Organic,32.0,False,False,1,4.1
